Ping_Number,Latency_ms
1,0.18529999942984432
2,0.25580000146874227
3,0.15139999959501438
4,0.1371000034851022
5,0.13579999722423963
6,0.12259999857633375
7,0.11919999815290794
8,0.12269999933778308
9,0.12060000153724104
10,0.07449999975506216
11,0.054600001021754
12,0.06750000102329068
13,0.06550000034621917
14,0.08650000017951243
15,0.08189999789465219
16,0.08960000195656903
17,0.07370000093942508
18,0.0805000017862767
19,0.1356999964627903
20,0.07689999983995222
21,0.11640000229817815
22,0.14569999984814785
23,0.1325999983237125
24,0.13579999722423963
25,0.11359999916749075
26,0.10239999755867757
27,0.1114999977289699
28,0.15220000204863027
29,0.14430000010179356
30,0.07530000220867805
31,0.1483999985794071
32,0.07270000060088933
33,0.1415999977325555
34,0.15659999917261302
35,0.12169999899924733
36,0.134599999000784
37,0.11650000305962749
38,0.16340000001946464
39,0.13839999883202836
40,0.11190000077476725
41,0.11250000170548446
42,0.08499999967170879
43,0.09240000144927762
44,0.09399999908055179
45,0.10580000162008218
46,0.09990000035031699
47,0.11519999679876491
48,0.09890000001178123
49,0.10779999865917489
50,0.18819999968400225
